Well_ID	MD	TVDSS	ZONE	VSH	SW	RT	PHIT	NTG	K
W03	3441.5745	3355.1745	13	0.6306	1	6.2535	0.0902	0	0.1148
W03	3442.5745	3356.1745	13	0.6306			0.0902	0	0.1148
W03	3443.5745	3357.1745	13	0.6224	1	6.3326	0.0905	0	
W03	3444.5745	3358.1745	13	0.6224		6.3326	0.0905	0	0.1161
W03	3445.5745	3359.1745	13	0.6224	1	6.3326	0.0905	0	0.1161
W03	3446.5745	3360.1745	13	0.6224	1	6.3326		0	0.1161
W03	3447.5745	3361.1745	13	0.6224	1	6.3326	0.0905	0	0.1161
W03	3448.5745	3362.1745	13	0.5973	1	6.5814	0.0979	0	0.1495
W03	3449.5745	3363.1745	13	0.5973	1	6.5814	0.0979	0	0.1495
W03	3450.5745	3364.1745	13	0.5973	1	6.5814	0.0979	0	0.1495
W03	3451.5745	3365.1745	13	0.5973	1	6.5814	0.0979	0	0.1495
W03	3452.5745	3366.1745	13	0.5973	1	6.5814	0.0979	0	0.1495
W03	3453.5745	3367.1745	13	0.5816	1	6.7426		0	0.2493
W03	3454.5745	3368.1745	13	0.5816	1	6.7426	0.1147	0	0.2493
W03	3455.5745	3369.1745	13	0.5816	1	6.7426	0.1147	0	0.2493
W03	3456.5745	3370.1745	13	0.5816		6.7426		0	0.2493
W03	3457.5745	3371.1745	13	0.5816	1	6.7426	0.1147	0	
